City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Halifax,CA,44.6453,-63.5724,31.21,97,100,20.71,2023-02-14 01:42:00
1,Atherton,GB,53.5237,-2.4935,42.46,87,0,3.0,2023-02-14 01:46:24
2,Nogliki,RU,51.8333,143.1667,-1.21,88,88,14.81,2023-02-14 01:46:25
3,Innisfail,AU,-17.5333,146.0333,79.52,69,100,1.86,2023-02-14 01:46:25
4,Severo-Kurilsk,RU,50.6789,156.125,26.26,93,100,8.72,2023-02-14 01:46:26
5,Omboue,GA,-1.5746,9.2618,78.01,87,100,4.21,2023-02-14 01:46:26
6,Chokurdakh,RU,70.6333,147.9167,-35.09,99,95,3.69,2023-02-14 01:46:27
7,Boyolangu,ID,-8.1181,111.8935,80.15,81,87,4.23,2023-02-14 01:46:28
8,Port Alfred,ZA,-33.5906,26.891,71.19,97,16,15.3,2023-02-14 01:46:28
9,Arraial Do Cabo,BR,-22.9661,-42.0278,76.42,91,100,9.48,2023-02-14 01:46:29
10,Atuona,PF,-9.8,-139.0333,79.57,77,4,18.66,2023-02-14 01:36:58
11,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,13.8,2023-02-14 01:46:30
12,Maricao,PR,18.1808,-66.9799,70.81,68,0,2.04,2023-02-14 01:46:31
13,Rikitea,PF,-23.1203,-134.9692,79.45,68,100,5.95,2023-02-14 01:46:31
14,Upernavik,GL,72.7868,-56.1549,-27.92,95,35,1.92,2023-02-14 01:46:32
15,Pedernales,DO,18.0384,-71.744,75.04,73,0,4.34,2023-02-14 01:46:33
16,Puerto Ayora,EC,-0.7393,-90.3518,78.55,92,49,1.99,2023-02-14 01:36:57
17,Kapaa,US,22.0752,-159.319,79.12,78,20,18.41,2023-02-14 01:44:12
18,Qaqortoq,GL,60.7167,-46.0333,0.48,79,57,3.27,2023-02-14 01:46:34
19,Lebu,CL,-37.6167,-73.65,57.81,85,100,6.53,2023-02-14 01:46:35
20,Ushuaia,AR,-54.8,-68.3,40.66,87,100,5.75,2023-02-14 01:46:36
21,Albany,US,42.6001,-73.9662,44.67,56,100,10.87,2023-02-14 01:46:36
22,Saldanha,ZA,-33.0117,17.9442,63.41,98,39,7.43,2023-02-14 01:46:37
23,Mahajanga,MG,-15.7167,46.3167,75.22,94,40,2.3,2023-02-14 01:46:38
24,Arcachon,FR,44.5875,-1.0519,39.52,100,1,2.3,2023-02-14 01:46:38
25,Luderitz,NA,-26.6481,15.1594,63.1,74,1,10.16,2023-02-14 01:32:52
26,Chuy,UY,-33.6971,-53.4616,79.66,71,99,4.32,2023-02-14 01:46:39
27,Khatanga,RU,71.9667,102.5,10.38,92,100,14.16,2023-02-14 01:46:40
28,Hilo,US,19.7297,-155.09,76.73,78,40,11.5,2023-02-14 01:44:57
29,Amot,NO,59.5714,7.9877,23.74,82,4,5.46,2023-02-14 01:46:41
30,Tasiilaq,GL,65.6145,-37.6368,28.56,95,100,7.09,2023-02-14 01:46:06
31,Okhotsk,RU,59.3833,143.3,-7.42,71,44,18.92,2023-02-14 01:46:42
32,Saint-Francois,FR,46.4154,3.9054,26.04,93,0,3.44,2023-02-14 01:46:42
33,Avarua,CK,-21.2078,-159.775,84.25,74,40,8.05,2023-02-14 01:46:43
34,Chicama,PE,-7.8447,-79.1469,72.14,77,99,5.12,2023-02-14 01:46:43
35,Ipameri,BR,-17.7219,-48.1597,69.12,92,100,4.32,2023-02-14 01:46:44
36,Bluff,NZ,-46.6,168.3333,65.12,66,5,11.27,2023-02-14 01:46:44
37,Gouyave,GD,12.1646,-61.7296,75.97,83,20,16.11,2023-02-14 01:46:45
38,Dikson,RU,73.5069,80.5464,8.04,94,100,16.31,2023-02-14 01:46:46
39,North Bend,US,43.4065,-124.2243,43.16,86,100,13.8,2023-02-14 01:37:16
40,Dong Xoai,VN,11.5333,106.9167,84.4,54,82,0.98,2023-02-14 01:46:47
41,Hofn,IS,64.2539,-15.2082,43.39,88,100,18.72,2023-02-14 01:46:47
